bid,mid,returns,position
7919.78,7919.78,0.00012753692747979206,1.0
7919.78,7919.78,0.00012753692747979206,1.0
7918.26,7918.26,-0.0001919429430240102,1.0
7918.26,7918.26,-0.0001919429430240102,1.0
7915.33,7915.33,-0.00037009926787860616,-1.0
7915.33,7915.33,-0.00037009926787860616,-1.0
7914.39,7914.39,-0.00011876394542730623,-1.0
7914.06,7914.06,-4.1697070786756005e-05,-1.0
7914.06,7914.06,-4.1697070786756005e-05,-1.0
7910.14,7910.14,-0.0004954436976510302,-1.0
7910.14,7910.14,-0.0004954436976510302,-1.0
7912.83,7912.83,0.00034001202377485014,-1.0
7912.83,7912.83,0.00034001202377485014,-1.0
7916.82,7916.82,0.0005041172842734564,1.0
7916.91,7916.91,1.1368136250938819e-05,1.0
7916.91,7916.91,1.1368136250938819e-05,1.0
7922.43,7922.43,0.0006969987668012021,1.0
7920.47,7920.47,-0.00024742944915386446,1.0
7920.47,7920.47,-0.00024742944915386446,1.0
7920.55,7920.55,1.010035969923126e-05,1.0
7920.55,7920.55,1.010035969923126e-05,1.0
7922.52,7922.52,0.00024868917579157115,1.0
7922.52,7922.52,0.00024868917579157115,1.0
7921.55,7921.55,-0.00012244328650557593,1.0
7923.73,7923.73,0.0002751608067201325,1.0
7923.73,7923.73,0.0002751608067201325,1.0
7926.05,7926.05,0.00029274854497282214,1.0
7926.05,7926.05,0.00029274854497282214,1.0
7929.21,7929.21,0.0003986058937968625,1.0
7929.21,7929.21,0.0003986058937968625,1.0
7927.65,7927.65,-0.00019676026716937547,1.0
7927.65,7927.65,-0.00019676026716937547,1.0
7927.13,7927.13,-6.55953599085985e-05,1.0
7929.0,7929.0,0.00023587092293887943,-1.0
7929.0,7929.0,0.00023587092293887943,-1.0
7924.51,7924.51,-0.0005664360914460952,-1.0
7924.51,7924.51,-0.0005664360914460952,-1.0
7922.78,7922.78,-0.00021833386110466332,-1.0
7922.31,7922.31,-5.932437116324955e-05,-1.0
7922.31,7922.31,-5.932437116324955e-05,-1.0
7920.91,7920.91,-0.00017673175069771044,-1.0
7920.91,7920.91,-0.00017673175069771044,-1.0
7922.87,7922.87,0.00024741570635277007,1.0
7922.87,7922.87,0.00024741570635277007,1.0
7919.11,7919.11,-0.0004746881476436184,-1.0
7919.11,7919.11,-0.0004746881476436184,-1.0
7919.11,7919.11,-0.0004746881476436184,-1.0
7916.99,7916.99,0.0,-1.0
7916.99,7916.99,0.0,-1.0
7917.12,7917.12,1.6420247175572336e-05,-1.0
7917.12,7917.12,1.6420247175572336e-05,-1.0
7914.73,7914.73,-0.00030192302455564485,-1.0
7915.16,7915.16,5.432760431127374e-05,-1.0
7915.16,7915.16,5.432760431127374e-05,-1.0
7913.17,7913.17,-0.0002514478799070419,-1.0
7913.17,7913.17,-0.0002514478799070419,-1.0
7912.9,7912.9,-3.412091568235366e-05,-1.0
7912.9,7912.9,-3.412091568235366e-05,-1.0
7915.43,7915.43,0.00031967996896040373,1.0
7915.43,7915.43,0.00031967996896040373,1.0
7911.79,7911.79,-0.0004599670775002045,-1.0
7917.32,7917.32,0.0006987127166314255,1.0
7917.32,7917.32,0.0006987127166314255,1.0
7910.96,7910.96,-0.0008036249475345265,-1.0
7908.32,7908.32,-0.0003337699344734413,-1.0
7908.32,7908.32,-0.0003337699344734413,-1.0
7908.79,7908.79,5.942931422224025e-05,-1.0
7908.79,7908.79,5.942931422224025e-05,-1.0
7914.37,7914.37,0.0007052953052754258,1.0
7914.37,7914.37,0.0007052953052754258,1.0
7912.03,7912.03,-0.00029570843869123747,1.0
